date,positive,negative,neutral,non_irony,irony,non-hate,hate,non-offensive,offensive
2022-10-29,0.46,0.17,0.37,0.77,0.23,0.99,0.01,0.91,0.09
2022-10-30,0.41,0.22,0.37,0.84,0.16,1.0,0.0,0.9,0.1
2022-10-31,0.48,0.21,0.31,0.8,0.2,1.0,0.0,0.91,0.09
2022-11-01,0.52,0.24,0.24,0.79,0.21,0.99,0.01,0.86,0.14
2022-11-02,0.41,0.2,0.39,0.77,0.23,1.0,0.0,0.88,0.12
2022-11-03,0.38,0.25,0.37,0.81,0.19,0.97,0.03,0.91,0.09
2022-11-04,0.44,0.23,0.33,0.78,0.22,1.0,0.0,0.89,0.11
2022-11-05,0.52,0.18,0.3,0.8,0.2,1.0,0.0,0.91,0.09
2022-11-06,0.45,0.23,0.32,0.78,0.22,1.0,0.0,0.88,0.12
2022-11-07,0.45,0.21,0.34,0.77,0.23,0.99,0.01,0.91,0.09
2022-11-08,0.4,0.18,0.42,0.84,0.16,1.0,0.0,0.95,0.05
2022-11-09,0.4,0.25,0.35,0.81,0.19,0.98,0.02,0.9,0.1
2022-11-10,0.35,0.34,0.31,0.63,0.37,0.99,0.01,0.87,0.13
2022-11-11,0.45,0.2,0.35,0.79,0.21,0.99,0.01,0.93,0.07
2022-11-12,0.47,0.14,0.39,0.8,0.2,1.0,0.0,0.93,0.07
2022-11-13,0.45,0.17,0.38,0.79,0.21,1.0,0.0,0.95,0.05
2022-11-14,0.39,0.21,0.4,0.76,0.24,1.0,0.0,0.88,0.12
2022-11-15,0.39,0.22,0.39,0.78,0.22,0.99,0.01,0.88,0.12
2022-11-16,0.46,0.25,0.29,0.78,0.22,1.0,0.0,0.84,0.16
2022-11-17,0.46,0.16,0.38,0.81,0.19,0.99,0.01,0.93,0.07
2022-11-18,0.37,0.28,0.35,0.79,0.21,0.98,0.02,0.87,0.13
